Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2025-12-16 03:22:03,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00429058248176759559563123385143,0.0048953871073567383676831843811120701728,supercharger_reward_to_app_credited,
2025-12-16 01:23:06,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00139824814423612955239402285293,0.0015953465449658728407838546125409516128,supercharger_reward_to_app_credited,
2025-12-15 03:27:03,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00461030559433905402415647567265,0.005260178696810457644893435673683389744,supercharger_reward_to_app_credited,
2025-12-15 01:25:13,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00145817538464522005512449427428,0.0016637211867131795335060959066970121088,supercharger_reward_to_app_credited,
2025-12-14 03:04:10,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00470550284310968490353051899742,0.0053687950411571554728296883445945607232,supercharger_reward_to_app_credited,
2025-12-14 01:09:04,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00150122127209050620596230987568,0.0017128348637768051676407147995733334528,supercharger_reward_to_app_credited,
2025-12-13 03:13:03,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00465338564777349264275377217528,0.0053093313559338660282292809447287570688,supercharger_reward_to_app_credited,
2025-12-13 01:20:07,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00151013237001968034727040009735,0.001723002078624729707914769074656549456,supercharger_reward_to_app_credited,
2025-12-12 04:16:10,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00468547343077462127262989073999,0.0053459422636311054308562218633941007904,supercharger_reward_to_app_credited,
2025-12-12 02:33:26,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00153172899249536348798245041251,0.0017476429817373427207974050858098056096,supercharger_reward_to_app_credited,
2025-12-12 01:31:08,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00153172899249536348798245041251,0.0017476429817373427207974050858098056096,supercharger_reward_to_app_credited,
2025-12-11 21:07:34,Card Cashback Reversal,CRO,-48.48251386,,,EUR,4.64,5.2940588544,card_cashback_reverted,
2025-12-11 21:07:34,Card Cashback,CRO,71.66235799,,,EUR,6.34,7.2336924864,referral_card_cashback,
2025-12-11 12:53:32,Card Cashback,CRO,0.09736299,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-11 10:00:10,Card Cashback,CRO,0.09737262,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-11 01:48:14,CRO Pool Rewards,XRP,0.002773,,,EUR,0.0047020788638158796983483974256,0.005364888414455075363872097941174104576,supercharger_reward_to_app_credited,
2025-12-10 12:46:25,Card Cashback Reversal,CRO,-0.09401655,,,EUR,0.01,0.0114096096,card_cashback_reverted,
2025-12-10 12:45:03,Card Cashback,CRO,0.0940345,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-10 12:44:44,Card Cashback,CRO,0.09401655,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-10 01:51:10,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00162978918875003792380965297374,0.0018595258373938644695862685141852451904,supercharger_reward_to_app_credited,
2025-12-09 12:01:46,Card Cashback,CRO,18.83102216,,,EUR,1.71,1.9510432416,referral_card_cashback,
2025-12-09 10:25:49,Card Cashback,CRO,9.1434388,,,EUR,0.83,0.9469975968,referral_card_cashback,
2025-12-09 09:11:45,Card Cashback,CRO,7.90373588,,,EUR,0.72,0.8214918912,referral_card_cashback,
2025-12-09 08:21:52,Card Cashback,CRO,1.33148642,,,EUR,0.12,0.1369153152,referral_card_cashback,
2025-12-09 02:31:11,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00160208555450555045516616740035,0.001827917072270785172654827316624040336,supercharger_reward_to_app_credited,
2025-12-09 01:30:19,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00525785158043518245230869355968,0.0059990033867508429885612812201983100928,supercharger_reward_to_app_credited,
2025-12-08 02:53:05,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00162640853652266091412905148717,0.0018556686451830902583391601486909108832,supercharger_reward_to_app_credited,
2025-12-08 01:51:07,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00556170211967043228881093033095,0.006345684989693211307856716328893829712,supercharger_reward_to_app_credited,
2025-12-07 18:25:58,Card Cashback,CRO,2.34013619,,,EUR,0.22,0.2510114112,referral_card_cashback,
2025-12-07 15:04:28,Card Cashback,CRO,9.50492193,,,EUR,0.85,0.969816816,referral_card_cashback,
2025-12-07 02:46:08,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00162255621021036752320682440832,0.0018512732912555827312308806554682191872,supercharger_reward_to_app_credited,
2025-12-07 01:53:03,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00577731814912585596999629737255,0.006591694461652059788348706646630125648,supercharger_reward_to_app_credited,
2025-12-06 19:38:54,Card Cashback,CRO,7.46579803,,,EUR,0.68,0.7758534528,referral_card_cashback,
2025-12-06 15:22:56,Card Cashback,CRO,31.63751021,,,EUR,2.89,3.2973771744,referral_card_cashback,
2025-12-06 15:06:01,Card Cashback,CRO,8.67935395,,,EUR,0.79,0.9013591584,referral_card_cashback,
2025-12-06 12:39:25,Card Cashback,CRO,1.41878202,,,EUR,0.13,0.1483249248,referral_card_cashback,
2025-12-06 11:11:16,Card Cashback,CRO,2.65553508,,,EUR,0.24,0.2738306304,referral_card_cashback,
2025-12-06 02:46:09,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00164525693137921742125009862393,0.0018771739278730860329982369260538517728,supercharger_reward_to_app_credited,
2025-12-06 01:52:10,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.0056932852116586918830714149016,0.006495816160647904283253369294687841536,supercharger_reward_to_app_credited,
2025-12-05 17:45:35,Card Cashback,CRO,1.81139093,,,EUR,0.17,0.1939633632,referral_card_cashback,
2025-12-05 15:48:23,Card Cashback,CRO,0.1872109,,,EUR,0.02,0.0228192192,referral_card_cashback,
2025-12-05 10:57:59,Card Cashback,CRO,0.18657243,,,EUR,0.02,0.0228192192,referral_card_cashback,
2025-12-05 10:56:51,Card Cashback,CRO,0.27991169,,,EUR,0.03,0.0342288288,referral_card_cashback,
